flight_id,flight_number,departure_airport_id,arrival_airport_id,scheduled_departure,scheduled_arrival,delay_min,ticket_price_usd,airline,status
3dd47fd7-65e6-455e-aaba-a9905a3a6908,AX807,MRBA,ROKR,2026-05-26T18:42,2026-05-27T05:42,160,441.85,Delta,On time
919d95d1-f5c8-4789-b3ff-cf4ed88cbaea,0D2579,MWCB,UHMD,2026-04-28T18:42,2026-04-28T21:42,11,449.5,Delta,Delayed
a065d296-2a9f-482e-a576-a74166f6e1fc,AM4349,UTDL,HUSO,2026-02-04T18:42,2026-02-05T01:42,155,115.43,Ryanair,Cancelled
e374f146-4468-488e-a6d5-e31774ccb10e,BF1206,YPKT,VTCR,2026-05-07T18:42,2026-05-08T03:42,16,1325.16,Emirates,On time
408841d1-c1f4-49af-8aba-802964960f2a,PU2111,MUMO,FMNM,2026-01-16T18:42,2026-01-17T05:42,154,1233.75,LOT,On time
e9c41dcb-8510-4ad6-a17c-d22e1467ec0c,JK3832,PGRO,MGCT,2026-08-17T18:42,2026-08-18T02:42,149,96.58,Lufthansa,Cancelled
68df795f-8080-46f5-8608-043b58dac613,3W290,LFMH,KMSN,2026-02-28T18:42,2026-03-01T04:42,106,622.92,Ryanair,Delayed
b6bfc352-3887-4289-98ed-ae139e278eb3,8Z7049,OPDB,NWWW,2026-03-09T18:42,2026-03-10T04:42,104,1309.49,LOT,Delayed
b2be5474-afd8-467a-81da-635c16bc5746,6N273,NWWW,VOPB,2026-03-07T18:42,2026-03-08T00:42,91,535.41,LOT,Cancelled
610fa2e2-e1c6-48fc-9e81-8f5dd2c9102a,PV7262,DITM,NWWW,2026-09-15T18:42,2026-09-15T21:42,99,1208.12,Emirates,Cancelled
f8c36e9b-3e3a-4246-b71b-d8a71d6af28a,SQ3836,ENRS,LFPG,2026-03-07T18:42,2026-03-07T19:42,2,129.46,LOT,Delayed
c7fb3792-b494-415e-a108-a1be91290ea5,6E8291,USKK,AYWK,2026-02-03T18:42,2026-02-04T01:42,123,1202.61,Delta,Cancelled
09efc7c8-97c0-48d8-828a-9704ff840fee,QT3498,EETN,CYEV,2026-02-11T18:42,2026-02-12T03:42,100,950.86,LOT,Delayed
7ae0e68b-375f-47bc-ba54-987ebd726c18,8L7221,MHRO,YPAG,2026-07-22T18:42,2026-07-22T22:42,156,1219.63,Lufthansa,On time
e3f151f2-61d9-469f-96a1-e95425a09b6c,7K421,USCC,PGRO,2026-01-09T18:42,2026-01-09T21:42,137,1346.23,Delta,Cancelled
d07be387-eab8-4d31-a6bb-f35b64d7673a,NA4087,MMIO,NVSS,2026-05-23T18:42,2026-05-23T21:42,75,614.78,LOT,Cancelled
18e5b18b-e055-4cbf-99b4-838b903b6c29,AP4844,EGJB,VGHS,2026-06-22T18:42,2026-06-23T05:42,89,539.54,Ryanair,On time
12b3c854-2e58-4bbb-ab9f-cc615f70ba9e,W4291,WRLR,EFIT,2026-06-02T18:42,2026-06-03T00:42,83,53.77,Delta,Delayed
baf1d321-bc84-456f-95d2-af4523d3622f,W89434,MYBG,SAVC,2026-02-10T18:42,2026-02-10T20:42,145,256.54,LOT,Cancelled
5bb49a6d-d2c1-4011-9c1b-12c04a9630dc,EQ4925,VYMO,RJCW,2026-03-04T18:42,2026-03-04T22:42,66,1341.58,LOT,Cancelled
f1dac16a-8169-4b9c-826f-b6e4521d16b5,HP1047,UTDL,OERF,2026-05-05T18:42,2026-05-05T20:42,107,629.45,LOT,Delayed
42eb6b8c-f340-4440-80f8-2510a7bba9ee,OB5615,OSKL,EFIT,2026-06-05T18:42,2026-06-05T21:42,91,271.47,Delta,Cancelled
38adf62c-d86a-4640-ac6d-b018c3c913d9,K7346,LFPG,USCC,2026-06-27T18:42,2026-06-27T22:42,4,1016.94,Emirates,On time
25b9ade6-7694-4bb1-832e-7355745aba6c,RR538,SBKP,LCEN,2026-04-06T18:42,2026-04-07T04:42,9,464.75,Delta,On time
a3939eed-de74-4451-af63-0418837a9222,9X6157,OERF,UTDL,2026-02-26T18:42,2026-02-27T04:42,66,434.1,Delta,Cancelled
12ba74be-9ed8-4dc1-9b1d-b6165ba24e9e,WS2157,FCBK,LEAL,2026-06-17T18:42,2026-06-18T01:42,166,438.7,LOT,Delayed
