flight_id,flight_number,departure_airport_id,arrival_airport_id,scheduled_departure,scheduled_arrival,delay_min,ticket_price_usd,airline,status
0fb7a36c-2ec7-43f4-a0a9-481b9868adc0,LR6292,VTCR,UHMD,2026-05-02T18:42,2026-05-02T19:42,45,1094.67,Emirates,On time
c66d9560-54ae-40e7-809a-c3888740151d,PQ6235,MHTE,FCBK,2026-04-01T18:42,2026-04-01T22:42,136,728.28,Delta,On time
518ce7a2-833e-4dd1-9d05-f9502b816fb2,KG6953,FARS,VNRC,2026-09-11T18:42,2026-09-11T20:42,113,226.7,Lufthansa,Cancelled
51ce47e6-d472-45f9-a632-68d9b2208781,ES7042,EGMD,VTCR,2026-04-01T18:42,2026-04-02T04:42,164,422.16,Ryanair,On time
a0c5d3ab-28b7-4b49-aaa2-8dac9a4c282c,U66063,FMNG,VNSK,2025-10-23T18:42,2025-10-24T05:42,35,742.19,Ryanair,On time
cf2eda83-9426-4d18-802f-7c3d31581258,5D9795,WAPP,EDXB,2026-06-05T18:42,2026-06-05T23:42,128,299.36,Delta,Delayed
a976e723-dc48-4ec7-ab61-74d6dd9ddf46,9R2379,CZRJ,SCTN,2026-09-09T18:42,2026-09-10T05:42,124,1301.25,Ryanair,Delayed
bba17e47-5452-48fe-a512-82113fb0f3e8,MC8937,LCEN,FMNM,2026-05-15T18:42,2026-05-15T22:42,161,1230.6,LOT,On time
189fa459-03f9-4076-a015-e4dfa43eb09c,ZG5063,MHTE,CYER,2026-04-13T18:42,2026-04-13T21:42,102,1124.9,LOT,Cancelled
b71b8382-c80b-4247-bf1e-3e35632c9336,QF1802,VGRJ,USKK,2025-12-23T18:42,2025-12-23T19:42,50,408.69,Ryanair,On time
92cba94a-c61d-452f-b7c0-1dd9bc52000c,GR6318,FYOG,ENRS,2026-02-05T18:42,2026-02-05T23:42,74,108.09,Lufthansa,Delayed
a64b9e11-07a3-460a-80e8-3396988ffff7,7O4567,SBKP,LFPG,2025-10-23T18:42,2025-10-24T05:42,128,482.19,Ryanair,Delayed
de5aa09f-f84c-4a74-8569-b16d02fdb9ef,3R1461,MHTE,ESNL,2025-10-16T18:42,2025-10-17T04:42,172,1342.0,Delta,On time
7e3475e9-f1f8-46f3-af21-869b9df5d5f8,WE3890,VHHH,FCBK,2026-04-29T18:42,2026-04-30T02:42,129,413.06,Emirates,On time
cee8c39d-5048-4f68-a710-7f066f36b480,FR246,VYMO,ESSA,2026-03-13T18:42,2026-03-14T01:42,38,1077.86,Emirates,On time
c9bfe2ce-9cff-46f1-b50b-6f34789cabd3,YI1235,MMSP,VTCR,2026-07-11T18:42,2026-07-11T20:42,159,875.19,Emirates,Delayed
c3ab7130-241c-4729-b99b-609489f25f70,AD4179,ENBS,MRBA,2025-11-19T18:42,2025-11-19T21:42,52,829.82,LOT,On time
e4d4bf47-5335-47bd-a8ef-16cf35c112c3,QX9376,VILD,ESNL,2025-10-11T18:42,2025-10-11T20:42,101,313.51,LOT,Delayed
10eca2df-8a2c-44c3-b19c-0ed38c2402c3,T28531,EDXB,FZVI,2026-01-08T18:42,2026-01-09T03:42,11,1078.69,Emirates,On time
f41781bc-1bf7-4c92-8f73-13cd791a0acf,VQ4485,CYFC,KXNA,2025-12-23T18:42,2025-12-24T00:42,60,1093.38,Lufthansa,Cancelled
d8845eaa-7c75-48fd-b10f-36fb05d4eb70,AA3462,EDXB,ENRS,2026-06-14T18:42,2026-06-15T00:42,74,92.15,Emirates,Delayed
13c978ad-3b95-400b-924c-4aa089b331c1,F76319,MYBG,EGMD,2025-11-16T18:42,2025-11-17T03:42,178,1061.31,Emirates,Delayed
349aed10-679a-4395-87ee-dabc2f8dd8a1,LO549,WRBP,USKK,2026-02-02T18:42,2026-02-03T00:42,150,984.1,Ryanair,Delayed
3cd38180-3654-4ef6-aada-ddf243c87090,BJ9859,FMNG,LFPG,2025-10-21T18:42,2025-10-22T01:42,28,381.24,LOT,Cancelled
17aba1ba-0eef-44af-b804-c44968634f75,XP2500,VNRC,UIAA,2026-03-15T18:42,2026-03-15T20:42,127,400.06,Emirates,On time
b7601ef3-b514-4337-a4bb-2064d7791c8d,TO1627,HAJM,PGRO,2026-04-14T18:42,2026-04-14T20:42,105,611.24,Delta,Delayed
f6f81cf2-216c-47aa-a559-09058443254b,FS8921,OPDB,ENRS,2026-03-31T18:42,2026-03-31T22:42,63,1049.32,Delta,Cancelled
d12a3bca-4334-4d20-b6a6-5abbc6ab9bb8,3G5166,VNRC,EETN,2026-07-31T18:42,2026-07-31T20:42,128,313.3,LOT,Delayed
2292b3e9-0aac-40ad-9f4e-80707a4e8d99,6O4022,WRLR,CYGT,2026-07-05T18:42,2026-07-06T03:42,179,786.96,Lufthansa,On time
4c0165bf-eb6f-42a4-b85f-70b6f28c1ef3,SJ5948,OPDB,CYLU,2026-06-10T18:42,2026-06-10T20:42,27,691.44,Ryanair,Cancelled
b52df46b-30d9-44a5-ae85-18b49396871a,BR7628,OPDB,CYFC,2025-12-12T18:42,2025-12-13T00:42,174,128.25,LOT,Delayed
daff80dc-2242-4244-9d21-afab029ecd6b,JL3003,ENRS,FYOG,2026-09-14T18:42,2026-09-15T03:42,55,907.63,Emirates,Cancelled
